,,,,,,,,,,
Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2022,ALABAMA,"GROUPER, GAG",,,,Confidential,Commercial,Mycteroperca microlepis,167759,GULFFIN
2022,ALABAMA,"GROUPER, GAG","11,510",5,,Public,Recreational,,167759,MRIP
2022,ALABAMA,"GROUPER, RED","2,632",1,,Public,Recreational,,167702,MRIP
2022,ALABAMA,"GROUPER, RED",399,0,"1,948",Public,Commercial,Epinephelus morio,167702,GULFFIN
2022,ALABAMA,"GROUPER, SNOWY",77,0,,Public,Recreational,,167705,MRIP
2022,ALABAMA,"GROUPER, WARSAW",,,,Confidential,Commercial,Epinephelus nigritus,167704,GULFFIN
2022,ALABAMA,"GROUPER, WARSAW",256,0,,Public,Recreational,,167704,MRIP
2022,ALABAMA,"GROUPER, YELLOWEDGE",,,,Confidential,Commercial,Epinephelus flavolimbatus,167699,GULFFIN
2022,ALABAMA,"GROUPER, YELLOWEDGE","2,679",1,,Public,Recreational,,167699,MRIP
2022,ALABAMA,"GROUPER, YELLOWFIN",,,,Confidential,Commercial,Mycteroperca venenosa,167764,GULFFIN
2022,ALABAMA,"GROUPERS, SERRANIDAE (FAMILY) **",,,,Confidential,Commercial,Serranidae,167674,GULFFIN
2022,ALABAMA,"HERRING, ATLANTIC THREAD",,,,Confidential,Commercial,Opisthonema oglinum,161748,GULFFIN
2022,ALABAMA,"HIND, ROCK",44,0,,Public,Recreational,,167696,MRIP
2022,ALABAMA,"HIND, SPECKLED",,,,Public,Recreational,,167698,MRIP
2022,ALABAMA,"HIND, SPECKLED",,,,Confidential,Commercial,Epinephelus drummondhayi,167698,GULFFIN
2022,ALABAMA,"HOGFISH, SPOTFIN",236,0,,Public,Recreational,,170483,MRIP
2022,ALABAMA,"JACK, ALMACO","7,205",3,,Public,Recreational,,168691,MRIP
2022,ALABAMA,"JACK, ALMACO",,,,Confidential,Commercial,Seriola rivoliana,168691,GULFFIN
