"","Product","UOM","Qty_import","Qty_export","Qty_domesticproduction","import_percent_of_domestic","export_percent_of_domestic"
"1","Bovine","NO",4718078.97517539,4136500.64543983,69090585,6.82883054930768,5.98706849195129
"2","Swine","NO",12252410.0390545,24499364.2754368,240064008,5.10380966356876,10.2053466821385
"3","Poultry","NO",63909760.2757202,1649948873.57202,9176809391,0.696426803180619,17.9795482642385
"4","Egg","DZ",26380968.6666667,174653474.888889,1834364197,1.43815326911697,9.52119950741106
